"projectID","name","shortName","shortDescription","description","group","primaryUser"
1,"Motus Ontario Array","MotusON","Array of ~100 towers maintained by Bird Studies Canada in support of all projects.","Array of ~100 towers maintained by Bird Studies Canada in support of all projects.","9","2"
2,"Motus Atlantic Array","MotusATL","Array of 50+ towers maintained by Bird Studies Canada in support of all projects.","Array of 50+ towers maintained by Bird Studies Canada in support of all projects.","1","547"
3,"EC-Quebec-St.Laurent","Quebec","Shorebird projects based along the St.Lawrence river.PI: Yves Aubry (Environment Canada)","Details to come.","3","233"
4,"Region 4 USFWS  ","USFWS_R4","Motus stations operated by Region 4 USFWS National Wildlife Refuge System.","Currently, this project houses all Motus stations operated by the Region 4 (Southeast) U.S. Fish & Wildlife Service National Wildlife Refuge System.","2","351"
5,"Available","Avail","This project is available.","NULL","NULL","2"
6,"Panama Gateway ","Panama","Four towers across the canal zone of Panama maintained for all to benefit by Panama Audubon and Bird Studies Canada.","Four towers across the canal zone of Panama maintained by Panama Audubon and Bird Studies Canada in collaboration with the Smithsonian Tropical Research Institute, The Canopy Tower and Canopy Tower Family, and City of Panama.","NULL","2"
7,"Welch","Welch","Maine Coastal Islands National Wildlife Refuge has been tagging common and Arctic terns on a number of breeding colonies in Maine since 2012.","The USFWS, Maine Coastal Islands NWR has been tagging common and Arctic terns on five breeding colonies in Maine over the past four years. In 2012-13, we tagged terns on Petit Manan Island. In 2014-15, we tagged terns on Metinic, Matinicus Rock, and Seal I","2","250"
8,"Holberton 2013-14","HolbSESA","In 2013-14, we tracked movements of ~ 75 Semipalmated Sandpipers in Downeast Maine to better understand stopover habitat use.","We applied nanotags to Semipalmated sandpipers (30 SESA + 4 other in 2013; 41 SESA in 2014) captured on stopover during fall migration in the Narraguagus Bay area in Downeast Maine.  This region is primarily active with fish, lobster, and shellfish harbe","NULL","242"
9,"Parker River/Great Bay Refuge","Pau","Bat, shorebird, and saltmarsh sparrows nanotag projects in northeast MA and southern NH.  Originally 3 towers at Parker River NWR, 2 at Great Bay NWR.","Tower Deployment –[BR]Originally three towers at Parker River National Wildlife Refuge and two towers at Great Bay National Wildlife Refuge. [BR]Due to maintenance issues and declining capacity, only one tower is currently operational (at the Salt Pannes site ","2","104"
10,"Taylor - receivers","Taylr","Receiver array as part of projects related to Dr. Phil Taylor","Receiver array as part of projects related to Dr. Phil Taylor","NULL","103"
11,"Peterson","Peter","Migratory Bat pilot project in Maine.","Migratory Bat pilot project in Maine.Trevor Peterson - Stantec Bats","NULL","246"
12,"Smetzer","Smetzer","Red-eyed vireos and blackpoll warblers stopover and migration at Petit Manan Wildlife Refuge in Steuben Maine. ","Songbird migration and implications for offshore wind development. We outfitted red-eyed vireos and blackpoll warblers with nano tags at the Petit Manan Wildlife Refuge in Steuben Maine. We are tracking the birds to help inform responsible siting and oper","NULL","226"
13,"Semipalmated Sandpipers in the Bay of Fundy","SESA BOF","Semipalmated Shorebird stopover and migration ecology in the Bay of Fundy.","Diana Hamilton - Mount Allison University[BR]Julie Paquet - Environment Canada","NULL","216"
14,"Loring","Loring","Concurrent projects on tern and shorebird movements throughout the Atlantic Coast","Concurrent projects on tern and shorebird movements throughout the Atlantic Coast","2","230"
15,"Aubry","Aubry","Stopover and Migratory behaviour of migratory birds along the St.Lawrence River - Swainson's Thrush, Pine Siskin, as well as some shorebirds.","Stopover and Migratory behaviour of migratory birds along the St.Lawrence River - Swainson's Thrush, Pine Siskin, as well as some shorebirds.[BR]Yves Aubry - Environment Canada - Quebec","NULL","233"
16,"Boyles","Boyles","Bat migration and ecology in the mid-west.","Bat migration in the mid-west.[BR]Dr. Justin Boyles - Southern Illinois U[BR]","NULL","257"
17,"Chapman","Chapman","Shoals_2014                    ","Shoals_2014   ","NULL","258"
18,"Dossman_Ohio","Dossman","Migration, stopover ecology, and departure decisions of American Redstart, Magnolia and Myrtle warblers in north east Ohio.","Migration, stopover ecology, and departure decisions of American Redstart, Magnolia and Myrtle warblers in north east Ohio.Bryant Dossman - Ohio State","NULL","205"
